,pj_alias,status,pj_github_url,corrected_pj_github_url,pj_github_api_url,correct_url_found,has_hard_fork,ratio_of_duplicate_prs,total_pull_requests,duplicate_prs,total_forks
0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-Amaterasu,https://api.github.com/repos/apache/incubator-retired-amaterasu,TRUE,FALSE,0,4,0,25
1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,https://api.github.com/repos/apache/incubator-Annotator,TRUE,FALSE,0,2,0,37
2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,https://api.github.com/repos/apache/incubator-BatchEE,TRUE,FALSE,0,6,0,18
3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,https://api.github.com/repos/apache/incubator-BRPC,TRUE,FALSE,0,72,0,100
4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,https://api.github.com/repos/apache/incubator-Crail,TRUE,FALSE,0,2,0,43
5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,https://api.github.com/repos/apache/incubator-Daffodil,TRUE,FALSE,0,14,0,52
6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,https://api.github.com/repos/apache/incubator-DataSketches,TRUE,FALSE,0,0,0,6
7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,https://api.github.com/repos/apache/incubator-DLab,TRUE,FALSE,0,9,0,41
8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,https://api.github.com/repos/apache/incubator-DolphinScheduler,TRUE,FALSE,0,69,0,100
9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,https://api.github.com/repos/apache/incubator-Doris,TRUE,FALSE,0.15,100,15,100
10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,https://api.github.com/repos/apache/incubator-Druid,TRUE,FALSE,0.03,100,3,100
11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,https://api.github.com/repos/apache/incubator-ECharts,TRUE,FALSE,0.074626866,67,5,100
12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,https://api.github.com/repos/apache/incubator-Edgent,TRUE,FALSE,0,5,0,100
13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,https://api.github.com/repos/apache/incubator-Flagon,TRUE,FALSE,0,1,0,11
14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,https://api.github.com/repos/apache/incubator-Gobblin,TRUE,FALSE,0.164948454,97,16,100
15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,https://api.github.com/repos/apache/incubator-Heron,TRUE,FALSE,0.024390244,41,1,100
16,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,https://api.github.com/repos/apache/incubator-Hivemall,TRUE,FALSE,0,7,0,100
17,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,https://api.github.com/repos/apache/incubator-Hudi,TRUE,FALSE,0.26,100,26,100
18,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,https://api.github.com/repos/apache/incubator-Iceberg,TRUE,FALSE,0.05,100,5,100
19,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,https://api.github.com/repos/apache/incubator-IoTDB,TRUE,FALSE,0.173913043,46,8,100
20,livy,0,https://github.com/apache/incubator-Livy,https://github.com/apache/incubator-Livy,https://api.github.com/repos/apache/incubator-Livy,TRUE,FALSE,0.061728395,81,5,100
21,marvin,0,https://github.com/apache/incubator-Marvin-AI,https://github.com/apache/incubator-marvin,https://api.github.com/repos/apache/incubator-marvin,TRUE,FALSE,0,3,0,32
22,milagro,0,https://github.com/apache/incubator-Milagro,https://github.com/apache/incubator-Milagro,https://api.github.com/repos/apache/incubator-Milagro,TRUE,FALSE,0,0,0,11
23,mxnet,0,https://github.com/apache/incubator-MXNet,https://github.com/apache/incubator-MXNet,https://api.github.com/repos/apache/incubator-MXNet,TRUE,FALSE,0,100,0,100
24,myriad,0,https://github.com/apache/incubator-Myriad,https://github.com/apache/incubator-Myriad,https://api.github.com/repos/apache/incubator-Myriad,TRUE,FALSE,0,8,0,73
25,nemo,0,https://github.com/apache/incubator-Nemo,https://github.com/apache/incubator-Nemo,https://api.github.com/repos/apache/incubator-Nemo,TRUE,FALSE,0,12,0,58
26,omid,0,https://github.com/apache/incubator-Omid,https://github.com/apache/incubator-Omid,https://api.github.com/repos/apache/incubator-Omid,TRUE,FALSE,0,13,0,43
27,pagespeed,0,https://github.com/apache/incubator-PageSpeed,https://github.com/apache/incubator-pagespeed-ngx,https://api.github.com/repos/apache/incubator-pagespeed-ngx,TRUE,FALSE,0,1,0,100
28,pinot,0,https://github.com/apache/incubator-Pinot,https://github.com/apache/incubator-Pinot,https://api.github.com/repos/apache/incubator-Pinot,TRUE,FALSE,0.119047619,84,10,100
29,ponymail,0,https://github.com/apache/incubator-PonyMail,https://github.com/apache/incubator-PonyMail,https://api.github.com/repos/apache/incubator-PonyMail,TRUE,FALSE,0,8,0,36
30,ratis,0,https://github.com/apache/incubator-Ratis,https://github.com/apache/incubator-Ratis,https://api.github.com/repos/apache/incubator-Ratis,TRUE,FALSE,0,26,0,100
31,rya,0,https://github.com/apache/incubator-Rya,https://github.com/apache/incubator-Rya,https://api.github.com/repos/apache/incubator-Rya,TRUE,FALSE,0,14,0,77
32,s2graph,0,https://github.com/apache/incubator-S2Graph,https://github.com/apache/incubator-S2Graph,https://api.github.com/repos/apache/incubator-S2Graph,TRUE,FALSE,0,17,0,65
33,samoa,0,https://github.com/apache/incubator-SAMOA,https://github.com/apache/incubator-SAMOA,https://api.github.com/repos/apache/incubator-SAMOA,TRUE,FALSE,0,13,0,100
34,sdap,0,https://github.com/apache/incubator-SDAP,https://github.com/apache/incubator-sdap-nexus,https://api.github.com/repos/apache/incubator-sdap-nexus,TRUE,FALSE,0,5,0,26
35,shardingsphere,0,https://github.com/apache/incubator-ShardingSphere,https://github.com/apache/incubator-ShardingSphere,https://api.github.com/repos/apache/shardingsphere,TRUE,FALSE,0,10,0,100
36,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,https://api.github.com/repos/apache/singa,TRUE,FALSE,0,21,0,100
37,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,https://api.github.com/repos/apache/incubator-Spot,TRUE,FALSE,0,6,0,100
38,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,https://api.github.com/repos/apache/incubator-Superset,TRUE,FALSE,0,100,0,100
39,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,https://api.github.com/repos/apache/incubator-Tamaya,TRUE,FALSE,0,0,0,34
40,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,https://api.github.com/repos/apache/incubator-taverna-workbench,TRUE,FALSE,0,2,0,10
41,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,https://api.github.com/repos/apache/incubator-Tephra,TRUE,FALSE,0,3,0,50
42,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,https://api.github.com/repos/apache/incubator-Toree,TRUE,FALSE,0,13,0,100
43,training,0,https://github.com/apache/incubator-Training,https://github.com/apache/incubator-Training,https://api.github.com/repos/apache/incubator-Training,TRUE,FALSE,0,0,0,22
44,tuweni,0,https://github.com/apache/incubator-Tuweni,https://github.com/apache/incubator-Tuweni,https://api.github.com/repos/apache/incubator-Tuweni,TRUE,FALSE,0,3,0,50
45,bloodhound,1,https://github.com/apache/Bloodhound,https://github.com/apache/Bloodhound,https://api.github.com/repos/apache/Bloodhound,TRUE,FALSE,0,0,0,33
46,tvm,0,https://github.com/apache/incubator-TVM,https://github.com/apache/incubator-TVM,https://api.github.com/repos/apache/incubator-TVM,TRUE,FALSE,0.01,100,1,100
47,warble,0,https://github.com/apache/incubator-Warble,https://github.com/apache/incubator-warble-server,https://api.github.com/repos/apache/incubator-warble-server,TRUE,,0,0,0,1
48,weex,0,https://github.com/apache/incubator-Weex,https://github.com/apache/incubator-Weex,https://api.github.com/repos/apache/incubator-Weex,TRUE,FALSE,0,16,0,100
49,abdera,1,https://github.com/apache/Abdera,https://github.com/apache/Abdera,https://api.github.com/repos/apache/Abdera,TRUE,FALSE,0,4,0,24
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,https://api.github.com/repos/apache/Accumulo,TRUE,FALSE,0,33,0,100
51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,https://api.github.com/repos/apache/ACE,TRUE,FALSE,0,4,0,23
52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,https://api.github.com/repos/apache/ActiveMQ,TRUE,FALSE,0.025641026,39,1,100
53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,https://api.github.com/repos/apache/Airavata,TRUE,FALSE,0.069767442,43,3,100
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,https://api.github.com/repos/apache/Airflow,TRUE,FALSE,0.01,100,1,100
55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,https://api.github.com/repos/apache/Allura,TRUE,FALSE,0,0,0,29
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,https://api.github.com/repos/apache/Ambari,TRUE,FALSE,0,62,0,100
57,oltu,1,https://github.com/apache/Amber,https://github.com/amberframework/amber,https://api.github.com/repos/amberframework/amber,TRUE,FALSE,0,5,0,100
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,https://api.github.com/repos/apache/Any23,TRUE,FALSE,0,5,0,54
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,https://api.github.com/repos/apache/apex-core,TRUE,FALSE,0,2,0,100
60,apollo,1,https://github.com/apache/Apollo,https://github.com/apache/activemq-apollo,https://api.github.com/repos/apache/activemq-apollo,TRUE,FALSE,0,0,0,73
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,https://api.github.com/repos/apache/Aries,TRUE,FALSE,0,10,0,100
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,https://api.github.com/repos/apache/AsterixDB,TRUE,FALSE,0,5,0,100
63,atlas,1,https://github.com/apache/Atlas,https://github.com/apache/Atlas,https://api.github.com/repos/apache/Atlas,TRUE,FALSE,0,52,0,100
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,https://api.github.com/repos/apache/Aurora,TRUE,FALSE,0,5,0,100
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,https://api.github.com/repos/apache/Beam,TRUE,FALSE,0.16,100,16,100
66,bval,1,https://github.com/apache/bval,https://github.com/apache/bval,https://api.github.com/repos/apache/bval,TRUE,FALSE,0,0,0,27
67,beehive,1,https://github.com/apache/Beehive,https://github.com/apache/hive,https://api.github.com/repos/apache/hive,TRUE,FALSE,0.011363636,88,1,100
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,https://api.github.com/repos/apache/Bigtop,TRUE,FALSE,0,100,0,100
69,brooklyn,1,https://github.com/apache/Brooklyn,https://github.com/apache/Brooklyn,https://api.github.com/repos/apache/Brooklyn,TRUE,FALSE,0,4,0,64
70,buildr,1,https://github.com/apache/Buildr,https://github.com/apache/Buildr,https://api.github.com/repos/apache/Buildr,TRUE,FALSE,0,1,0,68
71,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,https://api.github.com/repos/apache/Calcite,TRUE,FALSE,0.02,100,2,100
72,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,https://api.github.com/repos/apache/CarbonData,TRUE,FALSE,0.25,100,25,100
73,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,https://api.github.com/repos/apache/Cassandra,TRUE,FALSE,0.05,100,5,100
74,cayenne,1,https://github.com/apache/Cayenne,https://github.com/apache/Cayenne,https://api.github.com/repos/apache/Cayenne,TRUE,FALSE,0,29,0,100
75,celix,1,https://github.com/apache/Celix,https://github.com/apache/Celix,https://api.github.com/repos/apache/Celix,TRUE,FALSE,0,7,0,66
76,chemistry,1,https://github.com/apache/Chemistry,https://github.com/apache/Chemistry,https://api.github.com/repos/apache/Chemistry,TRUE,FALSE,0,0,0,8
77,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,https://api.github.com/repos/apache/Chukwa,TRUE,FALSE,0,3,0,44
78,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,https://api.github.com/repos/apache/Clerezza,TRUE,FALSE,0,4,0,27
79,click,1,https://github.com/apache/Click,https://github.com/apache/Click,https://api.github.com/repos/apache/Click,TRUE,FALSE,,0,0,10
80,cloudstack,1,https://github.com/apache/CloudStack,https://github.com/apache/CloudStack,https://api.github.com/repos/apache/CloudStack,TRUE,FALSE,0.18,100,18,100
81,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,https://api.github.com/repos/apache/commons-rdf,TRUE,FALSE,0,14,0,37
82,cordova,1,https://github.com/apache/Cordova,https://github.com/apache/Cordova,https://api.github.com/repos/apache/Cordova,TRUE,FALSE,0,1,0,42
83,couchdb,1,https://github.com/apache/CouchDB,https://github.com/apache/CouchDB,https://api.github.com/repos/apache/CouchDB,TRUE,FALSE,0.05,20,1,100
84,crunch,1,https://github.com/apache/Crunch,https://github.com/apache/Crunch,https://api.github.com/repos/apache/Crunch,TRUE,FALSE,0,4,0,83
86,curator,1,https://github.com/apache/Curator,https://github.com/apache/Curator,https://api.github.com/repos/apache/Curator,TRUE,FALSE,0,47,0,100
87,cxf,1,https://github.com/apache/CXF,https://github.com/apache/CXF,https://api.github.com/repos/apache/CXF,TRUE,FALSE,0,40,0,100
88,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,https://api.github.com/repos/apache/DataFu,TRUE,FALSE,0,2,0,58
89,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,https://api.github.com/repos/apache/Deltacloud,TRUE,FALSE,0,3,0,24
90,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,https://api.github.com/repos/apache/DeltaSpike,TRUE,FALSE,0,6,0,100
91,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,https://api.github.com/repos/apache/Derby,TRUE,FALSE,0,7,0,100
92,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,https://api.github.com/repos/apache/devicemap-browsermap,TRUE,FALSE,0,0,0,6
93,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,https://api.github.com/repos/apache/DirectMemory,TRUE,FALSE,0,3,0,26
94,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,https://api.github.com/repos/apache/directory-project,TRUE,FALSE,0,0,0,3
95,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,https://api.github.com/repos/apache/DistributedLog,TRUE,FALSE,0,3,0,71
96,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,https://api.github.com/repos/apache/Drill,TRUE,FALSE,0.0625,64,4,100
97,dubbo,1,https://github.com/apache/Dubbo,https://github.com/apache/Dubbo,https://api.github.com/repos/apache/Dubbo,TRUE,FALSE,0.073170732,41,3,100
98,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,https://api.github.com/repos/apache/Eagle,TRUE,FALSE,0,11,0,100
99,easyant,1,https://github.com/apache/EasyAnt,https://github.com/apache/ant-easyant-core,https://api.github.com/repos/apache/ant-easyant-core,TRUE,FALSE,0,0,0,8
100,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,https://api.github.com/repos/apache/Empire-db,TRUE,FALSE,0,8,0,22
101,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,https://api.github.com/repos/apache/ESME,TRUE,FALSE,0,0,0,12
102,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,https://api.github.com/repos/apache/Etch,TRUE,FALSE,0,0,0,9
103,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,https://api.github.com/repos/apache/Falcon,TRUE,FALSE,0,14,0,100
104,felix,1,https://github.com/apache/Felix,https://github.com/apache/Felix,https://api.github.com/repos/apache/Felix,TRUE,FALSE,0,59,0,100
105,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,https://api.github.com/repos/apache/Fineract,TRUE,FALSE,0,14,0,100
106,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,https://api.github.com/repos/apache/flex-sdk,TRUE,FALSE,0,5,0,100
107,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,https://api.github.com/repos/apache/Flink,TRUE,FALSE,0,100,0,100
108,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,https://api.github.com/repos/apache/Flume,TRUE,FALSE,0.11,100,11,100
109,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,https://api.github.com/repos/apache/Fluo,TRUE,FALSE,0,3,0,74
110,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,https://api.github.com/repos/apache/FreeMarker,TRUE,FALSE,0,4,0,100
111,ftpserver,1,https://github.com/apache/FtpServer,https://github.com/apache/FtpServer,https://api.github.com/repos/apache/FtpServer,TRUE,FALSE,0,2,0,53
112,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,https://api.github.com/repos/apache/Geode,TRUE,FALSE,0.117647059,51,6,100
113,geronimo,1,https://github.com/apache/Geronimo,https://github.com/apache/Geronimo,https://api.github.com/repos/apache/Geronimo,TRUE,FALSE,0,5,0,22
114,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,https://api.github.com/repos/apache/Giraph,TRUE,FALSE,0,26,0,100
115,gora,1,https://github.com/apache/Gora,https://github.com/apache/Gora,https://api.github.com/repos/apache/Gora,TRUE,FALSE,0,20,0,100
116,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,https://api.github.com/repos/apache/Griffin,TRUE,FALSE,0,0,0,100
117,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,https://api.github.com/repos/apache/Groovy,TRUE,FALSE,0,23,0,100
118,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,https://api.github.com/repos/apache/guacamole-server,TRUE,FALSE,0,19,0,100
119,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,https://api.github.com/repos/apache/Hama,TRUE,FALSE,0,2,0,72
120,harmony,1,https://github.com/apache/Harmony,https://github.com/apache/Harmony,https://api.github.com/repos/apache/Harmony,TRUE,FALSE,0,0,0,36
121,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,https://api.github.com/repos/apache/HAWQ,TRUE,FALSE,0,9,0,100
122,hcatalog,1,https://github.com/apache/HCatalog,https://github.com/apache/HCatalog,https://api.github.com/repos/apache/HCatalog,TRUE,FALSE,0,0,0,42
123,helix,1,https://github.com/apache/Helix,https://github.com/apache/Helix,https://api.github.com/repos/apache/Helix,TRUE,FALSE,0,2,0,100
124,hermes,1,https://github.com/apache/Hermes,https://github.com/allegro/hermes,https://api.github.com/repos/allegro/hermes,TRUE,FALSE,0,0,0,100
125,httpd-cli,1,https://github.com/apache/httpd-CLI,https://github.com/apache/httpd,https://api.github.com/repos/apache/httpd,TRUE,FALSE,0.027777778,36,1,100
126,ibatis,1,https://github.com/apache/iBATIS,https://github.com/mybatis/mybatis-3,https://api.github.com/repos/mybatis/mybatis-3,TRUE,FALSE,0,0,0,100
127,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,https://api.github.com/repos/apache/Ignite,TRUE,FALSE,0.2,100,20,100
128,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,https://api.github.com/repos/apache/Impala,TRUE,FALSE,0,3,0,100
129,isis,1,https://github.com/apache/Isis,https://github.com/apache/Isis,https://api.github.com/repos/apache/Isis,TRUE,FALSE,0,4,0,100
130,ivy,1,https://github.com/apache/Ivy,https://github.com/apache/ant-ivy,https://api.github.com/repos/apache/ant-ivy,TRUE,FALSE,0,11,0,95
131,jackrabbit,1,https://github.com/apache/Jackrabbit,https://github.com/apache/Jackrabbit,https://api.github.com/repos/apache/Jackrabbit,TRUE,FALSE,0,34,0,100
133,jclouds,1,https://github.com/apache/jclouds,https://github.com/apache/jclouds,https://api.github.com/repos/apache/jclouds,TRUE,FALSE,0,5,0,96
134,jdo,1,https://github.com/apache/JDO,https://github.com/apache/db-jdo,https://api.github.com/repos/apache/db-jdo,TRUE,FALSE,0,2,0,5
135,jena,1,https://github.com/apache/Jena,https://github.com/apache/Jena,https://api.github.com/repos/apache/Jena,TRUE,FALSE,0,4,0,100
136,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,https://api.github.com/repos/apache/Johnzon,TRUE,FALSE,0.111111111,18,2,59
137,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,https://api.github.com/repos/apache/Joshua,TRUE,FALSE,0,2,0,63
138,jspwiki,1,https://github.com/apache/JSPWiki,https://github.com/apache/JSPWiki,https://api.github.com/repos/apache/JSPWiki,TRUE,FALSE,0,1,0,81
139,juddi,1,https://github.com/apache/jUDDI,https://github.com/apache/jUDDI,https://api.github.com/repos/apache/jUDDI,TRUE,FALSE,0,0,0,18
140,juneau,1,https://github.com/apache/Juneau,https://github.com/apache/Juneau,https://api.github.com/repos/apache/Juneau,TRUE,FALSE,0,2,0,38
