Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index
0,amaterasu,0,https://github.com/apache/incubator-Amaterasu,https://github.com/apache/incubator-retired-amaterasu,True,True,2.583333333,20.10632151,0.0,4.0,0.0,0.01612903226,0.066088195
1,annotator,0,https://github.com/apache/incubator-Annotator,https://github.com/apache/incubator-Annotator,True,True,1.018867925,54.38602849,0.0,2.0,0.0,0.3703703704,0.06922536376
2,batchee,0,https://github.com/apache/incubator-BatchEE,https://github.com/apache/incubator-BatchEE,True,True,0.1363636364,32.74145821,0.0,6.0,0.0,0.2222222222,0.1443252166
3,brpc,0,https://github.com/apache/incubator-BRPC,https://github.com/apache/incubator-BRPC,True,True,9.612244898,27.89961977,0.0,75.0,0.0,0.09894736842,0.04806761598
4,crail,0,https://github.com/apache/incubator-Crail,https://github.com/apache/incubator-Crail,True,True,2.175,23.8111416,0.0,2.0,0.0,0.03448275862,0.05699424611
5,daffodil,0,https://github.com/apache/incubator-Daffodil,https://github.com/apache/incubator-Daffodil,True,True,14.16666667,411.8824727,0.0,10.0,0.0,0.02923976608,0.09189120848
6,datasketches,0,https://github.com/apache/incubator-DataSketches,https://github.com/apache/incubator-DataSketches,True,False,0.0,27.6819416,0.0,0.0,0.0,0.0,0.1110691149
7,dlab,0,https://github.com/apache/incubator-DLab,https://github.com/apache/incubator-DLab,True,True,39.21212121,21.65569961,0.0,9.0,0.0,0.003051106026,0.03121724419
8,dolphinscheduler,0,https://github.com/apache/incubator-DolphinScheduler,https://github.com/apache/incubator-DolphinScheduler,True,True,116.3870968,29.1436467,0.0,73.0,0.0,0.3131778742,0.0469340802
9,doris,0,https://github.com/apache/incubator-Doris,https://github.com/apache/incubator-Doris,True,True,84.0,30.30561561,0.145455,110.0,16.0,0.4615926709,0.06666958571
10,druid,0,https://github.com/apache/incubator-Druid,https://github.com/apache/incubator-Druid,True,True,72.0,31.69093921,0.069767,172.0,12.0,0.2922044399,0.05394162744
11,echarts,0,https://github.com/apache/incubator-ECharts,https://github.com/apache/incubator-ECharts,True,True,12.3,108.8653103,0.078125,64.0,5.0,0.4423701299,0.05229556826
12,edgent,0,https://github.com/apache/incubator-Edgent,https://github.com/apache/incubator-Edgent,True,True,8.162790698,34.54154537,0.0,5.0,0.0,0.01709401709,0.0742486675
13,flagon,0,https://github.com/apache/incubator-Flagon,https://github.com/apache/incubator-Flagon,True,True,0.1794871795,35.54430141,0.0,1.0,0.0,0.1428571429,0.202983769
14,gobblin,0,https://github.com/apache/incubator-Gobblin,https://github.com/apache/incubator-Gobblin,True,True,38.9625,28.70793492,0.16,100.0,16.0,0.03007037748,0.09055103949
15,heron,0,https://github.com/apache/incubator-Heron,https://github.com/apache/incubator-Heron,True,True,38.1,31.10404061,0.025641,39.0,1.0,0.1494768311,0.08497518288
16,hivemall,0,https://github.com/apache/incubator-Hivemall,https://github.com/apache/incubator-Hivemall,True,True,4.518518519,43.62624559,0.0,7.0,0.0,0.0737704918,0.1002221351
17,hudi,0,https://github.com/apache/incubator-Hudi,https://github.com/apache/incubator-Hudi,True,True,48.81034483,33.21170401,0.19863,146.0,29.0,0.0444214876,0.08701078138
18,iceberg,0,https://github.com/apache/incubator-Iceberg,https://github.com/apache/incubator-Iceberg,True,True,63.66666667,44.60871908,0.113208,212.0,24.0,0.2163667524,0.1164343054
19,iotdb,0,https://github.com/apache/incubator-IoTDB,https://github.com/apache/incubator-IoTDB,True,True,113.6176471,43.75942807,0.1875,48.0,9.0,0.08141009384,0.04644979597
20,livy,0,https://github.com/apache/incubator-Livy,https://github.com/apache/incubator-Livy,True,True,6.365384615,25.81226327,0.061728,81.0,5.0,0.05135951662,0.0817985597
21,marvin,0,https://github.com/apache/incubator-Marvin-AI,https://github.com/apache/incubator-marvin,True,True,1.611111111,24.91767355,0.0,3.0,0.0,0.05172413793,0.09057780337
22,milagro,0,https://github.com/apache/incubator-Milagro,https://github.com/apache/incubator-Milagro,True,True,1.388888889,33.5515994,0.0,0.0,0.0,0.04,0.1719747462
23,mxnet,0,https://github.com/apache/incubator-MXNet,https://github.com/apache/incubator-MXNet,True,True,142.4473684,35.81502685,0.023041,217.0,5.0,0.6163713547,0.06426411094
24,myriad,0,https://github.com/apache/incubator-Myriad,https://github.com/apache/incubator-Myriad,True,True,2.836734694,48.37305204,0.0,8.0,0.0,0.04316546763,0.1045943595
25,nemo,0,https://github.com/apache/incubator-Nemo,https://github.com/apache/incubator-Nemo,True,True,7.666666667,30.19133104,0.0,12.0,0.0,0.3819875776,0.1158212052
26,omid,0,https://github.com/apache/incubator-Omid,https://github.com/apache/incubator-Omid,True,True,1.507936508,33.72282204,0.0,13.0,0.0,0.02105263158,0.05195135385
27,pagespeed,0,https://github.com/apache/incubator-PageSpeed,https://github.com/apache/incubator-pagespeed-ngx,True,True,6.65625,24.27151444,0.0,1.0,0.0,0.1345852895,0.01277190803
28,pinot,0,https://github.com/apache/incubator-Pinot,https://github.com/apache/incubator-Pinot,True,True,79.18072289,43.93002394,0.104651,86.0,9.0,0.0494106981,0.08727442606
29,ponymail,0,https://github.com/apache/incubator-PonyMail,https://github.com/apache/incubator-PonyMail,True,True,0.7142857143,21.55542258,0.0,8.0,0.0,0.1555555556,0.03807557352
30,ratis,0,https://github.com/apache/incubator-Ratis,https://github.com/apache/incubator-Ratis,True,True,9.581818182,26.13674169,0.0,23.0,0.0,0.01489757914,0.08126797241
31,rya,0,https://github.com/apache/incubator-Rya,https://github.com/apache/incubator-Rya,True,True,5.35,75.2455857,0.0,14.0,0.0,0.02492211838,0.2109779216
32,s2graph,0,https://github.com/apache/incubator-S2Graph,https://github.com/apache/incubator-S2Graph,True,True,3.846153846,54.39683841,0.0,17.0,0.0,0.025,0.05104386554
33,samoa,0,https://github.com/apache/incubator-SAMOA,https://github.com/apache/incubator-SAMOA,True,True,1.4,44.77275798,0.0,13.0,0.0,0.0119047619,0.1112066909
34,sdap,0,https://github.com/apache/incubator-SDAP,https://github.com/apache/incubator-sdap-nexus,True,True,2.978723404,47.40095485,0.0,5.0,0.0,0.03546099291,0.1135078482
35,shardingsphere,0,https://github.com/apache/incubator-ShardingSphere,https://github.com/apache/incubator-ShardingSphere,True,True,112.9130435,23.22532469,0.0,16.0,0.0,0.5423320659,0.08908882567
36,singa,0,https://github.com/apache/incubator-SINGA,https://github.com/apache/incubator-SINGA,True,True,10.94736842,77.65334026,0.0,21.0,0.0,0.01923076923,0.07874352855
37,spot,0,https://github.com/apache/incubator-Spot,https://github.com/apache/incubator-Spot,True,True,2.982142857,760.9789678,0.0,6.0,0.0,0.02994011976,0.0655508712
38,superset,0,https://github.com/apache/incubator-Superset,https://github.com/apache/incubator-Superset,True,True,127.2533333,280.0010621,0.0,127.0,0.0,0.511453561,0.05458852754
39,tamaya,0,https://github.com/apache/incubator-Tamaya,https://github.com/apache/incubator-Tamaya,True,True,0.8983050847,28.9916988,0.0,0.0,0.0,0.03773584906,0.1179060353
40,taverna,0,https://github.com/apache/incubator-Taverna,https://github.com/apache/incubator-taverna-workbench,True,True,0.5333333333,30.09635198,0.0,2.0,0.0,0.0,0.08218320224
41,tephra,0,https://github.com/apache/incubator-Tephra,https://github.com/apache/incubator-Tephra,True,True,1.690909091,39.72642444,0.0,3.0,0.0,0.0,0.06911882109
42,toree,0,https://github.com/apache/incubator-Toree,https://github.com/apache/incubator-Toree,True,True,2.811594203,24.08374965,0.0,13.0,0.0,0.0412371134,0.1164413272
43,training,0,https://github.com/apache/incubator-Training,https://github.com/apache/incubator-Training,True,True,2.769230769,51.32264082,0.0,0.0,0.0,0.04166666667,0.2168982342
44,tuweni,0,https://github.com/apache/incubator-Tuweni,https://github.com/apache/incubator-Tuweni,True,True,7.766666667,40.62048336,0.0,3.0,0.0,0.235042735,0.07817791815
45,bloodhound,1,https://github.com/apache/Bloodhound,https://github.com/apache/Bloodhound,True,True,1.0,42.65438739,0.0,0.0,0.0,0.0,0.08518852473
46,tvm,0,https://github.com/apache/incubator-TVM,https://github.com/apache/incubator-TVM,True,True,128.3793103,33.65691939,0.088889,135.0,12.0,0.133902374,0.06664561964
47,warble,0,https://github.com/apache/incubator-Warble,https://github.com/apache/incubator-warble-server,True,False,0.0,44.87573758,0.0,0.0,0.0,0.0,0.2196687371
48,weex,0,https://github.com/apache/incubator-Weex,https://github.com/apache/incubator-Weex,True,True,47.01960784,79.26750523,0.0,16.0,0.0,0.09174311927,0.03562287561
49,abdera,1,https://github.com/apache/Abdera,https://github.com/apache/Abdera,True,True,0.04761904762,36.74569032,0.0,4.0,0.0,0.0,0.09403178698
50,accumulo,1,https://github.com/apache/Accumulo,https://github.com/apache/Accumulo,True,True,16.59375,35.46878943,0.0,30.0,0.0,0.3437695679,0.0382386359
51,ace,1,https://github.com/apache/ACE,https://github.com/apache/ACE,True,True,0.2352941176,58.06331362,0.0,4.0,0.0,0.0,0.1255543727
52,activemq,1,https://github.com/apache/ActiveMQ,https://github.com/apache/ActiveMQ,True,True,5.736,33.85033923,0.0,41.0,0.0,0.01388888889,0.08616277448
53,airavata,1,https://github.com/apache/Airavata,https://github.com/apache/Airavata,True,True,3.226190476,96.10721135,0.069767,43.0,3.0,0.0147601476,0.09050918138
54,airflow,1,https://github.com/apache/Airflow,https://github.com/apache/Airflow,True,True,182.1538462,25.8163947,0.019355,155.0,3.0,0.3291457286,0.04687034269
55,allura,1,https://github.com/apache/Allura,https://github.com/apache/Allura,True,True,0.1818181818,21.36812593,0.0,0.0,0.0,0.3333333333,0.04404141638
56,ambari,1,https://github.com/apache/Ambari,https://github.com/apache/Ambari,True,True,32.97,49.68697387,0.0,61.0,0.0,0.06789936344,0.05541544898
57,oltu,1,https://github.com/apache/Amber,https://github.com/amberframework/amber,True,True,15.59615385,13.33268195,0.0,5.0,0.0,0.2281134402,0.06244324611
58,any23,1,https://github.com/apache/Any23,https://github.com/apache/Any23,True,True,2.419354839,41.40403554,0.0,4.0,0.0,0.2422907489,0.08351748039
59,apex,1,https://github.com/apache/Apex,https://github.com/apache/apex-core,True,True,11.22222222,29.17123972,0.0,2.0,0.0,0.1650165017,0.03413258542
60,apollo,1,https://github.com/apache/Apollo,https://github.com/apache/activemq-apollo,True,True,0.2173913043,40.17801954,0.0,0.0,0.0,0.1,0.08679446122
61,aries,1,https://github.com/apache/Aries,https://github.com/apache/Aries,True,True,1.153846154,28.47078404,0.0,10.0,0.0,0.1333333333,0.09492293305
62,asterixdb,1,https://github.com/apache/AsterixDB,https://github.com/apache/AsterixDB,True,True,0.253968254,126.6529757,0.0,5.0,0.0,0.0625,0.1229207562
63,atlas,1,https://github.com/apache/Atlas,https://github.com/apache/Atlas,True,True,3.020833333,32.94937895,0.0,56.0,0.0,0.02684563758,0.07230222355
64,aurora,1,https://github.com/apache/Aurora,https://github.com/apache/Aurora,True,True,0.9594594595,31.90324367,0.0,5.0,0.0,0.0985915493,0.0644623022
65,beam,1,https://github.com/apache/Beam,https://github.com/apache/Beam,True,True,234.0,36.63310137,0.097297,185.0,18.0,0.0,0.04885840197
66,bval,1,https://github.com/apache/bval,https://github.com/apache/bval,True,True,0.1379310345,26.59546832,0.0,0.0,0.0,0.125,0.05905632198
67,beehive,1,https://github.com/apache/Beehive,https://github.com/apache/hive,True,True,22.53278689,76.538141,0.022472,89.0,2.0,0.01654676259,0.1153533391
68,bigtop,1,https://github.com/apache/Bigtop,https://github.com/apache/Bigtop,True,True,8.815217391,52.86774388,0.01676,179.0,3.0,0.02080783354,0.1216510566
69,brooklyn,1,https://github.com/apache/Brooklyn,https://github.com/apache/Brooklyn,True,True,0.7462686567,81.9401889,0.0,4.0,0.0,0.04,0.04449472097
70,buildr,1,https://github.com/apache/Buildr,https://github.com/apache/Buildr,True,True,0.4392523364,16.66925327,0.0,1.0,0.0,0.06382978723,0.02700118718
71,calcite,1,https://github.com/apache/Calcite,https://github.com/apache/Calcite,True,True,29.90804598,39.43116545,0.046296,216.0,10.0,0.01339456563,0.04844406798
72,carbondata,1,https://github.com/apache/CarbonData,https://github.com/apache/CarbonData,True,True,66.79365079,46.73632836,0.184,125.0,23.0,0.1922071751,0.06549531742
73,cassandra,1,https://github.com/apache/Cassandra,https://github.com/apache/Cassandra,True,True,10.925,23.47365126,0.132505,483.0,64.0,0.009009009009,0.02470054353
74,cayenne,1,https://github.com/apache/Cayenne,https://github.com/apache/Cayenne,True,True,5.441860465,30.27843596,0.0,30.0,0.0,0.004273504274,0.06436350317
75,celix,1,https://github.com/apache/Celix,https://github.com/apache/Celix,True,True,3.458333333,40.15154939,0.0,11.0,0.0,0.04347826087,0.05101742637
76,chemistry,1,https://github.com/apache/Chemistry,https://github.com/apache/Chemistry,True,False,0.0,44.04622343,0.0,0.0,0.0,0.0,0.08152444326
77,chukwa,1,https://github.com/apache/Chukwa,https://github.com/apache/Chukwa,True,True,0.2040816327,38.17910067,0.0,3.0,0.0,0.0,0.1141206506
78,clerezza,1,https://github.com/apache/Clerezza,https://github.com/apache/Clerezza,True,True,0.1826086957,40.0862792,0.0,4.0,0.0,0.0,0.1049230841
79,click,1,https://github.com/apache/Click,https://github.com/apache/Click,True,False,0.0,43.58814664,0.0,0.0,0.0,0.0,0.07457804742
80,cloudstack,1,https://github.com/apache/CloudStack,https://github.com/apache/CloudStack,True,True,46.10204082,45.23653741,0.158879,107.0,17.0,0.3250992501,0.04115865601
81,commonsrdf,1,https://github.com/apache/CommonsRDF,https://github.com/apache/commons-rdf,True,True,0.9102564103,29.69700853,0.0,14.0,0.0,0.2112676056,0.07545058018
82,cordova,1,https://github.com/apache/Cordova,https://github.com/apache/Cordova,True,True,0.5,26.16428571,0.0,1.0,0.0,0.0,0.3928571429
83,couchdb,1,https://github.com/apache/CouchDB,https://github.com/apache/CouchDB,True,True,17.66412214,32.36278246,0.047619,21.0,1.0,0.191461837,0.04328216222
84,crunch,1,https://github.com/apache/Crunch,https://github.com/apache/Crunch,True,True,0.3529411765,40.14760434,0.0,4.0,0.0,0.1,0.1177113127
85,ctakes,1,https://github.com/apache/cTAKES,https://github.com/apache/cTAKES,True,True,0.2857142857,815.473736,,,,0.5,
86,curator,1,https://github.com/apache/Curator,https://github.com/apache/Curator,True,True,4.395604396,26.82474427,0.0,48.0,0.0,0.0349127182,0.05604896915
87,cxf,1,https://github.com/apache/CXF,https://github.com/apache/CXF,True,True,9.538461538,22.97253933,0.0,38.0,0.0,0.03103448276,0.06896167016
88,datafu,1,https://github.com/apache/DataFu,https://github.com/apache/DataFu,True,True,0.1046511628,31.69649765,0.0,2.0,0.0,0.0,0.105071815
89,deltacloud,1,https://github.com/apache/Deltacloud,https://github.com/apache/Deltacloud,True,True,0.3043478261,36.20455785,0.0,3.0,0.0,0.0,0.1027559959
90,deltaspike,1,https://github.com/apache/DeltaSpike,https://github.com/apache/DeltaSpike,True,True,1.318181818,25.53620896,0.0,6.0,0.0,0.03448275862,0.1298529285
91,derby,1,https://github.com/apache/Derby,https://github.com/apache/Derby,True,True,0.1346153846,79.35480747,0.0,7.0,0.0,0.0,0.05593637162
92,devicemap,1,https://github.com/apache/DeviceMap,https://github.com/apache/devicemap-browsermap,True,False,0.0,82.4607684,0.0,0.0,0.0,0.0,0.0875
93,directmemory,1,https://github.com/apache/DirectMemory,https://github.com/apache/DirectMemory,True,True,0.04255319149,41.74418716,0.0,3.0,0.0,0.25,0.109740153
94,directory,1,https://github.com/apache/Directory,https://github.com/apache/directory-project,True,False,0.0,50.29979522,0.0,1.0,0.0,0.0,0.1009132566
95,distributedlog,1,https://github.com/apache/DistributedLog,https://github.com/apache/DistributedLog,True,True,4.794871795,34.65712539,0.0,3.0,0.0,0.06417112299,0.1281498095
96,drill,1,https://github.com/apache/Drill,https://github.com/apache/Drill,True,True,21.85046729,43.47667286,0.046875,64.0,3.0,0.0204168439,0.1030913928
97,dubbo,1,https://github.com/apache/Dubbo,https://github.com/apache/Dubbo,True,True,39.42342342,25.09072558,0.085714,35.0,3.0,0.567371052,0.07219698432
98,eagle,1,https://github.com/apache/Eagle,https://github.com/apache/Eagle,True,True,18.96226415,96.49568898,0.0,11.0,0.0,0.05373134328,0.1154763015
99,easyant,1,https://github.com/apache/EasyAnt,https://github.com/apache/ant-easyant-core,True,True,0.2727272727,37.85788879,0.0,0.0,0.0,0.0,0.1023561508
100,empire,1,https://github.com/apache/Empire-db,https://github.com/apache/Empire-db,True,True,0.1486486486,25.67335891,0.0,8.0,0.0,0.2727272727,0.054547095
101,esme,1,https://github.com/apache/ESME,https://github.com/apache/ESME,True,False,0.0,28.98552221,0.0,0.0,0.0,0.0,0.0879971493
102,etch,1,https://github.com/apache/Etch,https://github.com/apache/Etch,True,False,0.0,42.48888715,0.0,0.0,0.0,0.0,0.1473234188
103,falcon,1,https://github.com/apache/Falcon,https://github.com/apache/Falcon,True,True,7.189655172,26.29923776,0.0,14.0,0.0,0.002398081535,0.06503928623
104,felix,1,https://github.com/apache/Felix,https://github.com/apache/Felix,True,True,2.144230769,31.32404822,0.0,59.0,0.0,0.0269058296,0.06991578788
105,fineract,1,https://github.com/apache/Fineract,https://github.com/apache/Fineract,True,True,28.50724638,49.90701056,0.0,13.0,0.0,0.06386213887,0.06642786347
106,flex,1,https://github.com/apache/Flex,https://github.com/apache/flex-sdk,True,True,0.6984126984,118.6526047,0.0,5.0,0.0,0.0,0.008888457038
107,flink,1,https://github.com/apache/Flink,https://github.com/apache/Flink,True,True,201.5227273,45.7682832,0.037037,729.0,27.0,0.08967528462,0.09426239698
108,flume,1,https://github.com/apache/Flume,https://github.com/apache/Flume,True,True,3.169811321,41.03910426,0.101852,108.0,11.0,0.04761904762,0.1013120373
109,fluo,1,https://github.com/apache/Fluo,https://github.com/apache/Fluo,True,True,6.65,27.0703646,0.0,3.0,0.0,0.6127819549,0.05412586743
110,freemarker,1,https://github.com/apache/FreeMarker,https://github.com/apache/FreeMarker,True,True,0.9861111111,46.43845518,0.0,3.0,0.0,0.04225352113,0.05879211379
111,ftpserver,1,https://github.com/apache/FtpServer,https://github.com/apache/FtpServer,True,True,0.08620689655,35.73267197,0.0,2.0,0.0,0.0,0.1104056821
112,geode,1,https://github.com/apache/Geode,https://github.com/apache/Geode,True,True,92.20779221,47.76769653,0.0,63.0,0.0,0.01303616484,0.07235496701
113,geronimo,1,https://github.com/apache/Geronimo,https://github.com/apache/Geronimo,True,True,0.3,35.33735017,0.0,5.0,0.0,0.5,0.1108338989
114,giraph,1,https://github.com/apache/Giraph,https://github.com/apache/Giraph,True,True,1.637362637,31.80811672,0.0,26.0,0.0,0.04026845638,0.1179520094
115,gora,1,https://github.com/apache/Gora,https://github.com/apache/Gora,True,True,2.806818182,35.95880979,0.0,20.0,0.0,0.02024291498,0.0785653608
116,griffin,1,https://github.com/apache/Griffin,https://github.com/apache/Griffin,True,True,10.96296296,68.03542942,0.0,0.0,0.0,0.01351351351,0.1068187736
117,groovy,1,https://github.com/apache/Groovy,https://github.com/apache/Groovy,True,True,21.16666667,35.56769813,0.0,22.0,0.0,0.02902055623,0.07122406164
118,guacamole,1,https://github.com/apache/Guacamole,https://github.com/apache/guacamole-server,True,True,5.253731343,47.73276498,0.0,19.0,0.0,0.04829545455,0.03938790522
119,hama,1,https://github.com/apache/Hama,https://github.com/apache/Hama,True,True,0.25,30.20731526,0.0,2.0,0.0,0.05,0.07678193287
120,harmony,1,https://github.com/apache/Harmony,https://github.com/apache/Harmony,True,False,0.0,57.55535249,0.0,0.0,0.0,0.0,0.04845810501
121,hawq,1,https://github.com/apache/HAWQ,https://github.com/apache/HAWQ,True,True,21.01388889,49.09298533,0.0,9.0,0.0,0.007926023778,0.0756446991
122,hcatalog,1,https://github.com/apache/HCatalog,https://github.com/apache/HCatalog,True,False,0.0,31.32947485,0.0,0.0,0.0,0.0,0.08394172055
123,helix,1,https://github.com/apache/Helix,https://github.com/apache/Helix,True,True,12.6627907,51.45704775,0.0,2.0,0.0,0.4890310786,0.09302159496
124,hermes,1,https://github.com/apache/Hermes,https://github.com/allegro/hermes,True,True,12.48051948,15.07265447,0.0,6.0,0.0,0.2010362694,0.05501708944
125,httpd-cli,1,https://github.com/apache/httpd-CLI,https://github.com/apache/httpd,True,True,2.083333333,34.15458245,0.027027,37.0,1.0,0.07079646018,0.02949597923
126,ibatis,1,https://github.com/apache/iBATIS,https://github.com/mybatis/mybatis-3,True,True,12.12621359,20.52787668,0.0,67.0,0.0,0.3405103668,0.06068810906
127,ignite,1,https://github.com/apache/Ignite,https://github.com/apache/Ignite,True,True,120.525641,41.18744199,0.183459,665.0,122.0,0.005945429451,0.05115537758
128,impala,1,https://github.com/apache/Impala,https://github.com/apache/Impala,True,True,0.4545454545,130.9914961,0.0,3.0,0.0,0.28,0.04619401239
129,isis,1,https://github.com/apache/Isis,https://github.com/apache/Isis,True,True,8.117021277,29.03638732,0.0,3.0,0.0,0.5749354005,0.0741609986
130,ivy,1,https://github.com/apache/Ivy,https://github.com/apache/ant-ivy,True,True,0.9879518072,26.30209603,0.0,11.0,0.0,0.01219512195,0.09174680318
131,jackrabbit,1,https://github.com/apache/Jackrabbit,https://github.com/apache/Jackrabbit,True,True,0.6440677966,36.21237024,0.0,34.0,0.0,0.05263157895,0.07447405526
132,jaxme,1,https://github.com/apache/JaxMe,https://github.com/apache/JaxMe,False,False,,,,,,,
133,jclouds,1,https://github.com/apache/jclouds,https://github.com/apache/jclouds,True,True,1.825396825,32.62962556,0.0,5.0,0.0,0.02608695652,0.1111164149
134,jdo,1,https://github.com/apache/JDO,https://github.com/apache/db-jdo,True,True,1.03030303,47.95298847,0.0,2.0,0.0,0.05882352941,0.09580275503
135,jena,1,https://github.com/apache/Jena,https://github.com/apache/Jena,True,True,10.83333333,37.66893744,0.0,2.0,0.0,0.1350135014,0.05542735417
136,johnzon,1,https://github.com/apache/Johnzon,https://github.com/apache/Johnzon,True,True,0.9,35.03096381,0.111111,18.0,2.0,0.01388888889,0.08648123612
137,joshua,1,https://github.com/apache/Joshua,https://github.com/apache/Joshua,True,True,1.641509434,93.38291351,0.0,2.0,0.0,0.03448275862,0.08906031674
138,jspwiki,1,https://github.com/apache/JSPWiki,https://github.com/apache/JSPWiki,True,True,3.487804878,39.19751083,0.0,2.0,0.0,0.8137931034,0.0725119817
139,juddi,1,https://github.com/apache/jUDDI,https://github.com/apache/jUDDI,True,True,0.08823529412,47.46403992,0.0,0.0,0.0,0.0,0.125861772
140,juneau,1,https://github.com/apache/Juneau,https://github.com/apache/Juneau,True,True,1.266666667,50.2574093,0.0,2.0,0.0,0.0,0.06198260722
141,kafka,1,https://github.com/apache/Kafka,https://github.com/apache/Kafka,True,True,105.3119266,31.09118664,0.03096,969.0,30.0,0.04341031429,0.04592813323
142,knox,1,https://github.com/apache/Knox,https://github.com/apache/Knox,True,True,5.988095238,34.39858636,0.0,13.0,0.0,0.01972386588,0.1008388792
143,kudu,1,https://github.com/apache/Kudu,https://github.com/apache/Kudu,True,True,0.5882352941,31.92369011,0.0,6.0,0.0,0.1,0.0452996458
144,kylin,1,https://github.com/apache/Kylin,https://github.com/apache/Kylin,True,True,21.64197531,59.23914017,0.093023,43.0,4.0,0.01303854875,0.06122940602
145,lens,1,https://github.com/apache/Lens,https://github.com/apache/Lens,True,True,0.6101694915,31.16956226,0.230769,13.0,3.0,0.08333333333,0.06627456914
146,lenya,1,https://github.com/apache/Lenya,https://github.com/apache/Lenya,True,False,0.0,31.92457638,0.0,0.0,0.0,0.0,0.112379349
147,libcloud,1,https://github.com/apache/Libcloud,https://github.com/apache/Libcloud,True,True,11.3030303,103.7728571,0.0,14.0,0.0,0.07970529136,0.06286490639
