Unnamed: 0,pj_alias,status,pj_github_url,corrected_pj_github_url,correct_url_found,prs_found,frequency,dimensionality,ratio_of_duplicate_prs,total_prs(not a mteric),duplicate_prs(not a metric),cntr_management,additive_contribution_index
148,log4cxx,1,https://github.com/apache/log4cxx,https://github.com/apache/logging-log4cxx,True,True,1.314814815,56.73336292,0.0,0.0,0.0,0.05633802817,
149,log4cxx2,1,https://github.com/apache/log4cxx2,https://github.com/apache/log4cxx2,False,False,,,,,,,
150,log4net,1,https://github.com/apache/log4net,https://github.com/apache/logging-log4net,True,True,1.269230769,71.59727869,0.0,0.0,0.0,0.06060606061,0.06630519209
151,log4php,1,https://github.com/apache/Log4php,https://github.com/apache/logging-log4php,True,True,0.2558139535,26.17052038,0.0,5.0,0.0,0.0,0.09077452152
152,lucenenet,1,https://github.com/apache/Lucene.NET,https://github.com/apache/Lucene.NET,True,True,3.366666667,45.16231154,0.0,7.0,0.0,0.1682692308,0.0382857855
153,lucy,1,https://github.com/apache/Lucy,https://github.com/apache/Lucy,True,True,1.0,34.59429403,0.0,1.0,0.0,0.0,0.07451232899
154,madlib,1,https://github.com/apache/MADlib,https://github.com/apache/MADlib,True,True,8.042253521,138.9496135,0.0,1.0,0.0,0.09265734266,0.07057108732
155,manifoldcf,1,https://github.com/apache/ManifoldCF,https://github.com/apache/ManifoldCF,True,True,0.4520547945,54.80074316,0.0,13.0,0.0,0.1212121212,0.05982179738
156,marmotta,1,https://github.com/apache/Marmotta,https://github.com/apache/Marmotta,True,True,0.5277777778,41.94318883,0.0,9.0,0.0,0.0,0.06916894699
157,merlin-developer,1,https://github.com/apache/MerlinDeveloper,https://github.com/apache/MerlinDeveloper,False,False,,,,,,,
158,mesos,1,https://github.com/apache/Mesos,https://github.com/apache/Mesos,True,True,4.216494845,42.64261927,0.0,20.0,0.0,0.02200488998,0.03548872395
159,metamodel,1,https://github.com/apache/MetaModel,https://github.com/apache/MetaModel,True,True,3.139240506,26.45299059,5.666667,3.0,17.0,0.1048387097,0.07564458353
160,metron,1,https://github.com/apache/Metron,https://github.com/apache/Metron,True,True,28.76363636,56.77958453,0.0,24.0,0.0,0.0796460177,0.1216716247
161,mnemonic,1,https://github.com/apache/Mnemonic,https://github.com/apache/Mnemonic,True,True,3.545454545,27.21051062,0.0,2.0,0.0,0.03813559322,0.08968193146
162,mod_ftp,1,https://github.com/apache/mod_ftp,https://github.com/OutOfOrder/mod_ftpd,True,False,0.0,56.80942349,0.0,0.0,0.0,0.0,0.1227054166
163,mrunit,1,https://github.com/apache/MRUnit,https://github.com/apache/MRUnit,True,True,1.0,30.78243007,0.0,1.0,0.0,0.0,0.09781003628
164,muse,1,https://github.com/apache/Muse,https://github.com/apache/Muse,False,False,,,,,,,
165,myfaces,1,https://github.com/apache/MyFaces,https://github.com/apache/MyFaces,True,True,5.43902439,44.27107371,0.0,0.0,0.0,0.06726457399,0.0769383141
166,mynewt,1,https://github.com/apache/Mynewt,https://github.com/apache/mynewt-core,True,True,37.11764706,52.52491023,0.0,16.0,0.0,0.03832477282,0.06803665063
167,netbeans,1,https://github.com/apache/NetBeans,https://github.com/apache/NetBeans,True,True,67.57142857,60.77319913,0.0,95.0,0.0,0.05954887218,0.07844965518
168,nifi,1,https://github.com/apache/NiFi,https://github.com/apache/NiFi,True,True,67.07317073,40.14257355,0.034091,88.0,3.0,0.02243125904,0.08128784111
169,nutch,1,https://github.com/apache/Nutch,https://github.com/apache/Nutch,True,True,6.361111111,36.98651611,0.0,17.0,0.0,0.01594202899,0.06881325103
170,streams,1,https://github.com/apache/Streams,https://github.com/apache/Streams,True,True,6.58974359,37.21476762,0.0,0.0,0.0,0.04280155642,0.1117820552
171,nuvem,1,https://github.com/apache/Nuvem,https://github.com/apache/Nuvem,True,False,0.0,28.92713042,0.0,0.0,0.0,0.0,0.2730459535
172,ode,1,https://github.com/apache/Ode,https://github.com/apache/Ode,True,True,0.115942029,33.73067038,0.0,2.0,0.0,0.0,0.08998263379
173,ofbiz,1,https://github.com/apache/OFBiz,https://github.com/apache/OFBiz,True,True,0.2872340426,44.40791227,0.0,12.0,0.0,0.07407407407,0.03253536264
174,ognl,1,https://github.com/apache/OGNL,https://github.com/apache/commons-ognl,True,True,1.268292683,22.2600029,0.0,1.0,0.0,0.6153846154,0.0416203327
175,olingo,1,https://github.com/apache/Olingo,https://github.com/apache/olingo-odata4,True,True,0.7228915663,43.44770959,0.0,20.0,0.0,0.05,0.08310453677
176,onami,1,https://github.com/apache/Onami,https://github.com/apache/Onami,True,False,0.0,16.52924636,0.0,0.0,0.0,0.0,0.07361903541
177,oodt,1,https://github.com/apache/OODT,https://github.com/apache/OODT,True,True,1.307692308,35.90345904,0.0,3.0,0.0,0.01680672269,0.1201132002
178,oozie,1,https://github.com/apache/Oozie,https://github.com/apache/Oozie,True,True,0.5596330275,24.46573262,0.0,34.0,0.0,0.06557377049,0.06106948398
179,climate,1,https://github.com/apache/climate,https://github.com/apache/climate,True,True,6.820512821,34.89956281,0.0,5.0,0.0,0.005639097744,0.09345165723
180,openejb,1,https://github.com/apache/OpenEJB,https://github.com/apache/OpenEJB,True,False,0.0,39.52414247,0.0,0.0,0.0,0.0,0.1150378145
181,openjpa,1,https://github.com/apache/OpenJPA,https://github.com/apache/OpenJPA,True,True,0.8604651163,36.32093799,0.0,12.0,0.0,0.04054054054,0.09083915275
182,openmeetings,1,https://github.com/apache/Openmeetings,https://github.com/apache/Openmeetings,True,True,1.822580645,48.8203034,0.0,3.0,0.0,0.0,0.03425413735
183,opennlp,1,https://github.com/apache/OpenNLP,https://github.com/apache/OpenNLP,True,True,4.362637363,61.94925602,0.0,18.0,0.0,0.005037783375,0.1158600763
184,openoffice,1,https://github.com/apache/OpenOffice.org,https://github.com/apache/openoffice,True,True,2.266666667,2770.839491,0.0,12.0,0.0,0.08088235294,
185,openwebbeans,1,https://github.com/apache/OpenWebBeans,https://github.com/apache/OpenWebBeans,True,True,0.4418604651,29.06692755,0.0,0.0,0.0,0.0,0.09691818331
186,openwhisk,1,https://github.com/apache/OpenWhisk,https://github.com/apache/OpenWhisk,True,True,47.51470588,28.140347,0.0,36.0,0.0,0.223460229,0.06831024901
187,parquet,1,https://github.com/apache/Parquet,https://github.com/apache/parquet-mr,True,True,10.51724138,34.00414294,0.0625,96.0,6.0,0.03384279476,0.06075056962
188,pdfbox,1,https://github.com/apache/PDFBox,https://github.com/apache/PDFBox,True,True,1.205607477,37.29643053,0.0,19.0,0.0,0.0,0.03715723178
189,phoenix,1,https://github.com/apache/Phoenix,https://github.com/apache/Phoenix,True,True,15.11494253,46.34480419,0.038627,233.0,9.0,0.02490566038,0.06169196462
190,pig,1,https://github.com/apache/Pig,https://github.com/apache/Pig,True,True,0.3130434783,76.978727,0.0,7.0,0.0,0.05555555556,0.07989962332
191,pivot,1,https://github.com/apache/Pivot,https://github.com/apache/Pivot,True,False,0.0,34.74772365,0.0,0.0,0.0,0.0,0.09446615007
192,plc4x,1,https://github.com/apache/PLC4X,https://github.com/apache/PLC4X,True,True,6.152173913,46.56488848,0.0,15.0,0.0,0.08771929825,0.08408909207
193,pluto,1,https://github.com/apache/Pluto,https://github.com/apache/Pluto,True,True,1.0,40.44518195,0.0,1.0,0.0,1.0,0.1351276814
194,predictionio,1,https://github.com/apache/PredictionIO,https://github.com/apache/PredictionIO,True,True,4.988235294,63.99002556,0.0,17.0,0.0,0.07311320755,0.08975856212
195,pulsar,1,https://github.com/apache/Pulsar,https://github.com/apache/Pulsar,True,True,142.0983607,42.69249123,0.020339,295.0,6.0,0.3160945669,0.08627903429
196,qpid,1,https://github.com/apache/Qpid,https://github.com/apache/Qpid,True,True,0.1960784314,37.88008925,0.0,1.0,0.0,0.0,0.06981986689
197,wookie,1,https://github.com/apache/Wookie,https://github.com/apache/Wookie,True,True,1.0,42.43988571,0.0,1.0,0.0,0.0,0.1476510053
198,ranger,1,https://github.com/apache/Ranger,https://github.com/apache/Ranger,True,True,1.456790123,47.46355175,0.0,80.0,0.0,0.02542372881,0.06031834016
199,rat,1,https://github.com/apache/RAT,https://github.com/apache/creadur-rat,True,True,0.3424657534,27.34115622,0.0,6.0,0.0,0.24,0.05602402804
200,rave,1,https://github.com/apache/Rave,https://github.com/apache/Rave,True,True,0.6388888889,41.70913615,0.0,0.0,0.0,0.08695652174,0.09198663339
201,reef,1,https://github.com/apache/REEF,https://github.com/apache/REEF,True,True,19.25641026,26.82171713,4.166667,6.0,25.0,0.4294274301,0.08495787537
202,river,1,https://github.com/apache/River,https://github.com/apache/river-container,True,False,0.0,37.89989465,0.0,0.0,0.0,0.0,0.3163370885
203,rocketmq,1,https://github.com/apache/RocketMQ,https://github.com/apache/RocketMQ,True,True,29.48275862,31.57673175,0.057471,174.0,10.0,0.7605797101,0.08704767858
204,roller,1,https://github.com/apache/Roller,https://github.com/apache/Roller,True,True,0.784,53.47868968,0.0,1.0,0.0,0.01020408163,0.06575343483
205,samza,1,https://github.com/apache/Samza,https://github.com/apache/Samza,True,True,19.84615385,30.35414599,0.025,40.0,1.0,0.01675257732,0.08859476346
206,sanselan,1,https://github.com/apache/Sanselan,https://github.com/apache/Sanselan,True,True,0.02666666667,49.81417571,0.0,1.0,0.0,0.0,0.1278583659
207,sentry,1,https://github.com/apache/Sentry,https://github.com/apache/Sentry,True,True,0.2682926829,58.77984618,0.0,9.0,0.0,0.4545454545,0.08718390018
208,servicecomb,1,https://github.com/apache/ServiceComb,https://github.com/apache/servicecomb-java-chassis,True,True,31.13207547,27.75651171,0.0,3.0,0.0,0.02602905569,0.1404333755
209,servicemix,1,https://github.com/apache/ServiceMix,https://github.com/apache/ServiceMix,True,True,0.7714285714,22.26455392,0.0,1.0,0.0,0.01851851852,0.06186865567
210,shindig,1,https://github.com/apache/Shindig,https://github.com/apache/Shindig,True,True,0.04672897196,29.77531643,0.0,4.0,0.0,0.4,0.07824756653
211,shiro,1,https://github.com/apache/Shiro,https://github.com/apache/Shiro,True,True,2.845454545,29.82184059,0.0625,16.0,1.0,0.02555910543,0.08423586557
212,sis,1,https://github.com/apache/SIS,https://github.com/apache/SIS,True,True,0.3709677419,40.88863942,0.0,1.0,0.0,0.0,0.07265937024
213,skywalking,1,https://github.com/apache/SkyWalking,https://github.com/apache/SkyWalking,True,True,57.43283582,26.15575381,0.0,1.0,0.0,0.294529427,0.1067660617
214,sling,1,https://github.com/apache/Sling,https://github.com/apache/Sling,True,True,4.763636364,7.25,0.0,0.0,0.0,0.01145038168,0.25
215,solr,1,https://github.com/apache/Solr,https://github.com/apache/Solr,True,True,50.875,36.94998344,0.0,75.0,0.0,0.03058823529,0.05948047758
216,spamassassin,1,https://github.com/apache/SpamAssassin,https://github.com/apache/SpamAssassin,True,True,0.05,85.79822935,0.0,0.0,0.0,0.0,0.02097155261
217,spark,1,https://github.com/apache/Spark,https://github.com/apache/Spark,True,True,379.3406593,227.5021935,0.069264,231.0,16.0,0.08147421282,0.04475444757
218,sqoop,1,https://github.com/apache/Sqoop,https://github.com/apache/Sqoop,True,True,0.8269230769,37.51465648,0.0,22.0,0.0,0.01162790698,0.09173085604
219,stanbol,1,https://github.com/apache/Stanbol,https://github.com/apache/Stanbol,True,True,0.2093023256,50.16275451,0.0,15.0,0.0,0.2777777778,0.119843388
220,stdcxx,1,https://github.com/apache/stdcxx,https://github.com/apache/stdcxx,True,False,0.0,97.49732863,0.0,0.0,0.0,0.0,0.1352259249
221,storm,1,https://github.com/apache/Storm,https://github.com/apache/Storm,True,True,36.41489362,25.46023774,0.0625,48.0,3.0,0.05169392523,0.03912354041
222,stratos,1,https://github.com/apache/Stratos,https://github.com/apache/Stratos,True,True,10.34693878,44.14334525,0.222222,9.0,2.0,0.009861932939,0.06894796803
223,subversion,1,https://github.com/apache/Subversion,https://github.com/apache/Subversion,True,True,0.1274509804,57.50026685,0.0,1.0,0.0,0.0,0.02105233947
224,synapse,1,https://github.com/apache/Synapse,https://github.com/apache/Synapse,True,True,0.6527777778,39.9823311,0.0,1.0,0.0,0.1276595745,0.1020868732
225,syncope,1,https://github.com/apache/Syncope,https://github.com/apache/Syncope,True,True,3.506024096,22.44074883,0.0,2.0,0.0,0.01718213058,0.04921122249
226,systemml,1,https://github.com/apache/SystemML,https://github.com/apache/SystemML,True,True,20.43661972,118.1361777,0.0,27.0,0.0,0.02602739726,0.1006460716
227,tajo,1,https://github.com/apache/Tajo,https://github.com/apache/Tajo,True,True,15.1,35.67702331,0.0,34.0,0.0,0.006622516556,0.1071335854
228,tapestry,1,https://github.com/apache/Tapestry,https://github.com/apache/tapestry-5,True,True,0.2976190476,47.79651911,0.0,22.0,0.0,0.0,0.09554774002
229,tez,1,https://github.com/apache/Tez,https://github.com/apache/Tez,True,True,1.848837209,29.9247439,0.0,52.0,0.0,0.0303030303,0.06035957652
230,thrift,1,https://github.com/apache/Thrift,https://github.com/apache/Thrift,True,True,19.91935484,31.30395046,0.0,24.0,0.0,0.03519417476,0.07034997489
231,tika,1,https://github.com/apache/Tika,https://github.com/apache/Tika,True,True,4.053571429,61.118866,0.0,49.0,0.0,0.0350877193,0.09905079898
232,tinkerpop,1,https://github.com/apache/TinkerPop,https://github.com/apache/TinkerPop,True,True,18.65,34.19959056,0.0,9.0,0.0,0.06951871658,0.04299404716
233,tobago,1,https://github.com/apache/Tobago,https://github.com/apache/myfaces-tobago,True,True,32.6875,33.1233804,0.0,3.0,0.0,0.573110285,0.05856079637
234,trafficcontrol,1,https://github.com/apache/TrafficControl,https://github.com/apache/TrafficControl,True,True,70.26666667,77.87686872,0.0,76.0,0.0,0.4415308292,0.06318405709
235,trafficserver,1,https://github.com/apache/TrafficServer,https://github.com/apache/TrafficServer,True,True,64.85849057,29.65247924,0.0,39.0,0.0,0.1689385151,0.0399235381
236,trafodion,1,https://github.com/apache/Trafodion,https://github.com/apache/Trafodion,True,True,32.31034483,68.14408891,0.0,24.0,0.0,0.01280683031,0.02848991306
237,trinidad,1,https://github.com/apache/Trinidad,https://github.com/apache/myfaces-trinidad,True,True,0.1071428571,75.71156741,0.0,2.0,0.0,0.0,0.04832017856
238,tuscany,1,https://github.com/apache/Tuscany,https://github.com/apache/tuscany-sdo,True,True,1.0,59.01823397,0.0,1.0,0.0,0.0,0.1414397619
239,twill,1,https://github.com/apache/Twill,https://github.com/apache/Twill,True,True,1.88372093,21.69620783,0.0,3.0,0.0,0.0,0.05352364229
240,uima,1,https://github.com/apache/UIMA,https://github.com/apache/uima-uimaj,True,True,3.465116279,57.56181938,0.0,2.0,0.0,0.0,0.05440466557
241,unomi,1,https://github.com/apache/Unomi,https://github.com/apache/Unomi,True,True,5.409090909,28.11062055,0.0,1.0,0.0,0.02203856749,0.08826862758
242,usergrid,1,https://github.com/apache/Usergrid,https://github.com/apache/Usergrid,True,True,7.380952381,68.63037105,0.0,21.0,0.0,0.01612903226,0.05352547859
243,vcl,1,https://github.com/apache/VCL,https://github.com/apache/VCL,True,True,0.2941176471,84.04463924,0.0,3.0,0.0,0.0,0.03067241844
244,vxquery,1,https://github.com/apache/VXQuery,https://github.com/apache/VXQuery,True,True,4.615384615,66.28420577,0.0,10.0,0.0,0.005555555556,0.1427489808
245,webwork2,1,https://github.com/openwebwork/webwork2,https://github.com/openwebwork/webwork2,True,True,9.543103448,68.59934122,0.0,35.0,0.0,0.137962128,0.05862607956
246,whirr,1,https://github.com/apache/Whirr,https://github.com/apache/Whirr,True,True,0.2121212121,20.42665941,0.0,4.0,0.0,0.0,0.0871087837
247,wicket,1,https://github.com/apache/Wicket,https://github.com/apache/Wicket,True,True,3.652892562,32.73799612,0.0,8.0,0.0,0.06053811659,0.06789292617
248,wink,1,https://github.com/apache/Wink,https://github.com/apache/Wink,True,True,0.1666666667,87.65246984,0.0,2.0,0.0,0.0,0.1044032853
249,woden,1,https://github.com/apache/Woden,https://github.com/wso2/wso2-axis2,True,True,2.438202247,14.9001537,0.0,1.0,0.0,0.04128440367,0.0252909851
250,xmlbeans,1,https://github.com/apache/XMLBeans,https://github.com/apache/XMLBeans,True,True,0.03260869565,78.68996166,0.0,0.0,0.0,0.0,0.1189898518
251,zeppelin,1,https://github.com/apache/Zeppelin,https://github.com/apache/Zeppelin,True,True,54.64102564,32.59506999,0.011494,87.0,1.0,0.06611957796,0.06055542897
252,agila,2,https://github.com/apache/Agila,https://github.com/agilasverige/agilasverige_site,True,False,0.0,19.66395156,0.0,0.0,0.0,0.0,0.1240517223
253,alois,2,https://github.com/apache/Alois,https://github.com/logintas/alois,True,False,0.0,9.140963461,0.0,0.0,0.0,0.0,0.07692307692
254,altrmi,2,https://github.com/apache/AltRMI,https://github.com/apache/AltRMI,False,False,,,,,,,
255,ariatosca,2,https://github.com/apache/AriaTosca,https://github.com/apache/incubator-ariatosca,True,True,12.10526316,32.89364045,0.0,1.0,0.0,0.004347826087,0.1277404334
256,awf,2,https://github.com/apache/AWF,https://github.com/apache/AWF,False,False,,,,,,,
257,axion,2,https://github.com/apache/Axion,https://github.com/apache/ws-axiom,True,True,9.0,27.82648692,0.0,1.0,0.0,0.9938271605,0.09618497845
258,bluesky,2,https://github.com/apache/Bluesky,https://github.com/apache/Bluesky,False,False,,,,,,,
259,blur,2,https://github.com/apache/Blur,https://github.com/apache/incubator-retired-blur,True,True,0.6666666667,46.24531612,0.0,1.0,0.0,0.0,0.08302590275
260,cmda,2,https://github.com/apache/Climate Model Diagnostic Analyzer,https://github.com/apache/Climate Model Diagnostic Analyzer,False,False,,,,,,,
261,composer,2,https://github.com/apache/Composer,https://github.com/apache/openwhisk-composer,True,True,1.621621622,22.40140393,0.0,1.0,0.0,0.2333333333,0.07197576231
262,concerted,2,https://github.com/apache/Concerted,https://github.com/apache/incubator-retired-concerted,True,True,6.0,80.83059088,0.0,3.0,0.0,0.0,0.1654852659
263,corinthia,2,https://github.com/apache/Corinthia,https://github.com/apache/incubator-retired-corinthia,True,False,0.0,71.16411807,0.0,0.0,0.0,0.0,0.1601814252
264,cotton,2,https://github.com/apache/Cotton,https://github.com/apache/incubator-retired-cotton,True,False,0.0,15.69516113,0.0,0.0,0.0,0.0,0.0744047619
265,depot,2,https://github.com/apache/Depot,https://github.com/apache/Depot,False,False,,,,,,,
266,droids,2,https://github.com/apache/Droids,https://github.com/trickl/trickl-crawler,True,False,0.0,36.87066263,0.0,0.0,0.0,0.0,0.08968045113
267,gearpump,2,https://github.com/apache/Gearpump,https://github.com/gearpump/gearpump,True,True,14.79761905,35.39673838,0.0,91.0,0.0,0.659694288,0.05940360446
268,gossip,2,https://github.com/apache/Gossip,https://github.com/apache/incubator-retired-gossip,True,True,4.0,27.90443233,0.0,4.0,0.0,0.02777777778,0.09514055298
269,graffito,2,https://github.com/apache/Graffito,https://github.com/apache/Graffito,False,False,,,,,,,
270,hdt,2,https://github.com/apache/incubator-retired-hdt,https://github.com/apache/incubator-retired-hdt,True,True,1.0,21.95367485,0.0,1.0,0.0,0.0,0.4213406985
271,heraldry,2,https://github.com/apache/Heraldry,https://github.com/apache/Heraldry,False,False,,,,,,,
272,hise,2,https://github.com/apache/HISE,https://github.com/apache/HISE,False,False,,,,,,,
273,horn,2,https://github.com/apache/HORN,https://github.com/apache/incubator-retired-horn,True,True,2.0,52.94999734,0.0,1.0,0.0,0.0,0.277972583
274,htrace,2,https://github.com/apache/incubator-retired-htrace,https://github.com/apache/incubator-retired-htrace,True,True,0.8125,30.76690176,0.0,5.0,0.0,0.0,0.07194342894
275,imperius,2,https://github.com/apache/Imperius,https://github.com/apache/Imperius,False,False,,,,,,,
276,iota,2,https://github.com/apache/iota,https://github.com/apache/incubator-retired-iota,True,True,2.5,34.46719682,0.0,2.0,0.0,0.05714285714,0.1551275917
277,juice,2,https://github.com/apache/JuiCE,https://github.com/apache/JuiCE,False,False,,,,,,,
278,kabuki,2,https://github.com/apache/Kabuki,https://github.com/apache/Kabuki,False,False,,,,,,,
279,kalumet,2,https://github.com/apache/Kalumet,https://github.com/apache/Kalumet,True,False,0.0,73.11361497,0.0,0.0,0.0,0.0,0.2993861434
280,kato,2,https://github.com/apache/Kato,https://github.com/apache/Kato,False,False,,,,,,,
281,kitty,2,https://github.com/apache/Kitty,https://github.com/apache/Kitty,False,False,,,,,,,
282,lokahi,2,https://github.com/apache/Lokahi,https://github.com/apache/Lokahi,False,False,,,,,,,
283,lucene4c,2,https://github.com/apache/Lucene4c,https://github.com/apache/Lucene4c,False,False,,,,,,,
284,mrql,2,https://github.com/apache/MRQL,https://github.com/apache/incubator-retired-mrql,True,True,1.545454545,22.85745471,0.0,1.0,0.0,0.0,0.07558902468
285,nmaven,2,https://github.com/apache/NMaven,https://github.com/apache/maven,True,True,5.466019417,27.3405539,0.0,60.0,0.0,0.08756567426,0.08665974937
286,npanday,2,https://github.com/apache/NPanday,https://github.com/apache/NPanday,True,True,1.0,38.26193764,0.0,1.0,0.0,0.0,0.06161556175
287,odf,2,https://github.com/apache/ODFToolkit,https://github.com/apache/ODFToolkit,True,True,0.1363636364,162.5145876,0.0,3.0,0.0,0.0,0.1266171525
288,olio,2,https://github.com/apache/Olio,https://github.com/apache/Olio,False,False,,,,,,,
289,openaz,2,https://github.com/apache/OpenAz,https://github.com/apache/incubator-retired-openaz,True,True,0.6363636364,38.68555439,0.0,3.0,0.0,0.0,0.1312968713
290,photark,2,https://github.com/apache/PhotArk,https://github.com/apache/PhotArk,True,False,0.0,38.89969809,0.0,0.0,0.0,0.0,0.14014441
291,pirk,2,https://github.com/apache/Pirk,https://github.com/apache/incubator-retired-pirk,True,True,17.14285714,27.19749712,0.0,4.0,0.0,0.008333333333,0.06790267912
292,provisionr,2,https://github.com/apache/Provisionr,https://github.com/apache/incubator-retired-provisionr,True,False,0.0,21.8847028,0.0,0.0,0.0,0.0,0.1177789187
293,quickstep,2,https://github.com/apache/Quickstep,https://github.com/apache/incubator-retired-quickstep,True,True,12.06666667,59.15708383,0.0,4.0,0.0,0.1022099448,0.05717928748
294,rcf,2,https://github.com/apache/RCF,https://github.com/apache/RCF,False,False,,,,,,,
295,ripple,2,https://github.com/apache/Ripple,https://github.com/apache/incubator-retired-ripple,True,True,2.533333333,27.10461679,0.0,4.0,0.0,0.03947368421,0.05054368246
296,s4,2,https://github.com/apache/S4,https://github.com/apache/incubator-retired-s4,True,True,2.0,36.12457893,0.0,0.0,0.0,0.0,0.1412028388
297,sirona,2,https://github.com/apache/Sirona,https://github.com/apache/Sirona,True,True,0.09523809524,31.88360158,0.0,2.0,0.0,0.0,0.1186362676
298,slider,2,https://github.com/apache/Slider,https://github.com/apache/incubator-retired-slider,True,True,0.1818181818,25.31413176,0.0,6.0,0.0,0.0,0.05403453685
299,socialsite,2,https://github.com/apache/SocialSite,https://github.com/apache/SocialSite,False,False,,,,,,,
300,stonehenge,2,https://github.com/apache/Stonehenge,https://github.com/apache/Stonehenge,False,False,,,,,,,
301,tashi,2,https://github.com/apache/Tashi,https://github.com/apache/Tashi,True,True,0.1111111111,28.10703135,0.0,2.0,0.0,0.0,0.06863225666
302,triplesoup,2,https://github.com/apache/TripleSoup,https://github.com/apache/TripleSoup,False,False,,,,,,,
303,tsik,2,https://github.com/apache/TSIK,https://github.com/apache/TSIK,False,False,,,,,,,
304,wadi,2,https://github.com/apache/WADI,https://github.com/apache/WADI,False,False,,,,,,,
305,wave,2,https://github.com/apache/Wave,https://github.com/apache/incubator-retired-wave,True,True,0.5510204082,103.8907513,0.0,2.0,0.0,0.0,0.1095032483
306,wsrp4j,2,https://github.com/apache/WSRP4J,https://github.com/apache/WSRP4J,False,False,,,,,,,
307,xap,2,https://github.com/apache/XAP,https://github.com/xap/xap,True,True,2.516666667,20.82033441,0.0,20.0,0.0,0.08227848101,0.05665649194
308,xmlbeans-cxx,2,https://github.com/apache/XMLBeans/C++,https://github.com/apache/xmlbeans,False,True,,,0.0,0.0,0.0,0.0,0.1189898518
309,yoko,2,https://github.com/apache/Yoko,https://github.com/apache/geronimo-yoko,True,False,0.0,58.46841188,0.0,0.0,0.0,0.0,0.056206466
310,zeta,2,https://github.com/apache/ZetaComponents,https://github.com/apache/ZetaComponents,True,True,0.1739130435,65.19987088,0.0,1.0,0.0,0.0,0.128822397
311,zipkin,2,https://github.com/apache/Zipkin,https://github.com/apache/Zipkin,True,True,19.05405405,48.11366972,0.0,18.0,0.0,0.253427896,0.05298860434
